GAME_ID,TEAMS,LOCATION,W/L,FINAL_MARGIN,DEFENSIVE_RATING,PLAYER_NAME,PLAYER_ID,POINTS
21400395,"DEC 20, 2014 - CHA vs. UTA",H,W,18,94.9,gerald henderson,201945,17
21400384,"DEC 19, 2014 - CHA @ PHI",A,W,18,101,gerald henderson,201945,11
21400369,"DEC 17, 2014 - CHA vs. PHX",H,L,-5,103.3,gerald henderson,201945,4
21400355,"DEC 15, 2014 - CHA @ CLE",A,L,-9,98.7,gerald henderson,201945,8
21400341,"DEC 13, 2014 - CHA vs. BKN",H,L,-27,100.9,gerald henderson,201945,4
21400334,"DEC 12, 2014 - CHA @ MEM",A,L,-6,95.1,gerald henderson,201945,8
21400316,"DEC 10, 2014 - CHA vs. BOS",H,W,9,101.2,gerald henderson,201945,7
21400276,"DEC 05, 2014 - CHA vs. NYK",H,W,1,101.2,gerald henderson,201945,18
21400263,"DEC 03, 2014 - CHA vs. CHI",H,L,-7,97.8,gerald henderson,201945,8
21400237,"NOV 29, 2014 - CHA @ ATL",A,L,-30,97.1,gerald henderson,201945,12
21400224,"NOV 28, 2014 - CHA vs. GSW",H,L,-5,99.9,gerald henderson,201945,6
