Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
380,Elton Brand\brandel01,2015-16,36,PHI,NBA,0.2,17,1,225,31,72,31,71,0,1,8,9,9,54,63,18,9,8,11,32,70,.431,.437,.000,.431,.889,.461
381,Bryce Dejean-Jones\dejeabr01,2015-16,23,NOP,NBA,0.2,14,11,279,28,69,16,37,12,32,11,21,8,40,48,15,10,2,11,17,79,.406,.432,.375,.493,.524,.505
382,Jordan Hamilton\hamiljo02,2015-16,25,NOP,NBA,0.2,11,4,304,49,116,36,71,13,45,14,21,12,50,62,25,8,3,17,24,125,.422,.507,.289,.478,.667,.499
383,John Jenkins\jenkijo01,2015-16,24,TOT,NBA,0.2,43,3,480,71,160,55,109,16,51,20,24,8,49,57,35,8,1,27,22,178,.444,.505,.314,.494,.833,.522
384,Sasha Kaun\kaunsa01,2015-16,30,CLE,NBA,0.2,25,0,95,9,17,9,17,0,0,5,11,12,14,26,3,4,5,7,11,23,.529,.529,,.529,.455,.527
385,K.J. McDaniels\mcdankj01,2015-16,22,HOU,NBA,0.2,37,1,235,29,72,22,47,7,25,24,30,16,26,42,10,7,6,17,30,89,.403,.468,.280,.451,.800,.522
386,Lamar Patterson\pattela01,2015-16,24,ATL,NBA,0.2,35,0,395,28,80,16,31,12,49,16,22,4,46,50,39,9,2,23,45,84,.350,.516,.245,.425,.727,.468
387,Greg Smith\smithgr02,2015-16,25,MIN,NBA,0.2,18,0,192,18,32,18,32,0,0,7,17,12,30,42,6,4,1,7,28,43,.563,.563,,.563,.412,.545
388,Edy Tavares\tavarwa01,2015-16,23,ATL,NBA,0.2,11,0,73,11,19,11,19,0,0,3,8,7,14,21,3,1,6,5,8,25,.579,.579,,.579,.375,.555
389,Charlie Villanueva\villach01,2015-16,31,DAL,NBA,0.2,62,4,665,125,327,78,155,47,172,22,24,24,128,152,24,18,15,31,71,319,.382,.503,.273,.454,.917,.473
390,Alan Williams\willial03,2015-16,23,PHO,NBA,0.2,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,.417,.417,,.417,.643,.481
391,Anthony Bennett\bennean01,2015-16,22,TOR,NBA,0.1,19,0,84,8,27,5,13,3,14,9,10,6,17,23,0,5,0,4,8,28,.296,.385,.214,.352,.900,.446
392,Jared Cunningham\cunnija01,2015-16,24,TOT,NBA,0.1,44,3,410,36,105,24,66,12,39,36,55,3,35,38,20,14,2,21,41,120,.343,.364,.308,.400,.655,.464
393,Spencer Dinwiddie\dinwisp01,2015-16,22,DET,NBA,0.1,12,0,159,19,54,18,44,1,10,19,33,4,13,17,22,3,0,7,20,58,.352,.409,.100,.361,.576,.423
394,Jarell Eddie\eddieja01,2015-16,24,WAS,NBA,0.1,26,0,147,20,65,5,18,15,47,8,8,2,21,23,5,5,1,1,5,63,.308,.278,.319,.423,1.000,.460
395,Archie Goodwin\goodwar01,2015-16,21,PHO,NBA,0.1,57,13,1114,176,422,153,323,23,99,130,193,27,115,142,118,27,13,100,84,505,.417,.474,.232,.444,.674,.498
396,Erick Green\greener01,2015-16,24,TOT,NBA,0.1,9,0,42,5,13,4,8,1,5,2,2,3,3,6,3,1,0,0,4,13,.385,.500,.200,.423,1.000,.468
