"DATE","START","VISITOR","V_PTS","HOME","H_PTS","OT","ATTENDANCE","V_DEFRTG","H_DEFRTG"
"Mon, Nov 16, 2015","8:00p","IND","95","CHI","96","nan","21,660","103.51","107.2"
"Mon, Nov 16, 2015","8:00p","BOS","111","HOU","95","nan","17,005","104.1","109.1"
"Mon, Nov 16, 2015","8:00p","OKC","114","MEM","122","nan","17,270","106.22","108.69"
"Mon, Nov 16, 2015","7:00p","DAL","92","PHI","86","nan","11,555","107.48","110.15"
"Mon, Nov 16, 2015","9:00p","LAL","101","PHX","120","nan","18,055","112.4","109.8"
"Tue, Nov 17, 2015","7:30p","CLE","99","DET","104","nan","18,442","105.32","106.19"
"Tue, Nov 17, 2015","10:30p","TOR","110","GSW","115","nan","19,596","106.16","104.32"
"Tue, Nov 17, 2015","8:00p","DEN","115","NOP","98","nan","17,269","109.47","110.17"
"Wed, Nov 18, 2015","8:00p","SAC","97","ATL","103","nan","13,008","109.07","102"
"Wed, Nov 18, 2015","7:30p","DAL","106","BOS","102","nan","17,262","107.48","104.1"
"Wed, Nov 18, 2015","7:00p","BKN","111","CHA","116","nan","14,040","111.6","105.01"
"Wed, Nov 18, 2015","8:00p","POR","103","HOU","108","OT","17,107","108.67","109.1"
"Wed, Nov 18, 2015","8:00p","NOP","103","OKC","110","nan","18,203","110.17","106.22"
"Wed, Nov 18, 2015","7:00p","MIN","101","ORL","104","OT","16,048","111.02","107.47"
"Wed, Nov 18, 2015","7:00p","IND","112","PHI","85","nan","11,080","103.51","110.15"
"Wed, Nov 18, 2015","10:30p","CHI","103","PHX","97","nan","17,377","107.2","109.8"
"Wed, Nov 18, 2015","8:30p","DEN","98","SAS","109","nan","18,418","109.47","99.55"
"Wed, Nov 18, 2015","9:00p","TOR","89","UTA","93","nan","18,741","106.16","104.78"
"Thu, Nov 19, 2015","7:30p","SAC","109","MIA","116","nan","19,600","109.07","105.34"
"Fri, Nov 20, 2015","7:30p","BKN","95","BOS","120","nan","18,361","111.6","104.1"
"Fri, Nov 20, 2015","7:00p","PHI","88","CHA","113","nan","17,926","110.15","105.01"
"Fri, Nov 20, 2015","8:30p","UTA","93","DAL","102","nan","20,028","104.78","107.48"
"Fri, Nov 20, 2015","10:30p","CHI","94","GSW","106","nan","19,596","107.2","104.32"
"Fri, Nov 20, 2015","10:30p","TOR","102","LAL","91","nan","18,997","106.16","112.4"
"Fri, Nov 20, 2015","8:00p","HOU","84","MEM","96","nan","17,555","109.1","108.69"
"Fri, Nov 20, 2015","8:00p","DET","96","MIN","86","nan","13,445","106.19","111.02"
"Fri, Nov 20, 2015","8:00p","SAS","90","NOP","104","nan","16,698","99.55","110.17"
"Fri, Nov 20, 2015","8:00p","NYK","93","OKC","90","nan","18,203","108.43","106.22"
"Fri, Nov 20, 2015","10:00p","LAC","91","POR","102","nan","19,393","104.57","108.67"
"Sat, Nov 21, 2015","7:30p","ATL","97","CLE","109","nan","20,562","102","105.32"
"Sat, Nov 21, 2015","7:30p","WAS","97","DET","95","nan","15,890","106.48","106.19"
"Sat, Nov 21, 2015","8:00p","NYK","107","HOU","102","nan","18,226","108.43","109.1"
"Sat, Nov 21, 2015","7:00p","MIL","86","IND","123","nan","17,137","109.65","103.51"
"Sat, Nov 21, 2015","8:00p","PHI","91","MIA","96","nan","19,673","110.15","105.34"
"Sat, Nov 21, 2015","5:00p","SAC","97","ORL","91","nan","16,104","109.07","107.47"
"Sat, Nov 21, 2015","8:30p","MEM","82","SAS","92","nan","18,418","108.69","99.55"
"Sun, Nov 22, 2015","3:30p","TOR","91","LAC","80","nan","19,060","106.16","104.57"
"Sun, Nov 22, 2015","9:30p","POR","107","LAL","93","nan","18,997","108.67","112.4"
"Sun, Nov 22, 2015","6:00p","PHX","116","NOP","122","nan","16,680","109.8","110.17"
"Sun, Nov 22, 2015","7:00p","DAL","114","OKC","117","nan","18,203","107.48","106.22"
"Mon, Nov 23, 2015","7:00p","SAC","122","CHA","127","OT","14,163","109.07","105.01"
"Mon, Nov 23, 2015","7:00p","ORL","103","CLE","117","nan","20,562","107.47","105.32"
"Mon, Nov 23, 2015","7:30p","NYK","78","MIA","95","nan","19,777","108.43","105.34"
"Mon, Nov 23, 2015","8:00p","DET","88","MIL","109","nan","12,319","106.19","109.65"
"Mon, Nov 23, 2015","8:00p","PHI","95","MIN","100","nan","11,382","110.15","111.02"
"Mon, Nov 23, 2015","8:30p","PHX","84","SAS","98","nan","18,418","109.8","99.55"
"Mon, Nov 23, 2015","9:00p","OKC","111","UTA","89","nan","19,911","106.22","104.78"
"Tue, Nov 24, 2015","9:00p","LAC","111","DEN","94","nan","13,257","104.57","109.47"
"Tue, Nov 24, 2015","10:30p","LAL","77","GSW","111","nan","19,596","112.4","104.32"
"Tue, Nov 24, 2015","8:00p","DAL","96","MEM","110","nan","17,381","107.48","108.69"
"Tue, Nov 24, 2015","10:00p","CHI","93","POR","88","nan","19,393","107.2","108.67"
"Tue, Nov 24, 2015","7:00p","IND","123","WAS","106","nan","15,486","103.51","106.48"
"Wed, Nov 25, 2015","7:00p","WAS","87","CHA","101","nan","17,064","106.48","105.01"
"Wed, Nov 25, 2015","7:30p","MIA","81","DET","104","nan","15,119","105.34","106.19"
"Wed, Nov 25, 2015","10:30p","UTA","102","LAC","91","nan","19,060","104.78","104.57"
"Wed, Nov 25, 2015","8:00p","SAC","129","MIL","118","nan","14,120","109.07","109.65"
"Wed, Nov 25, 2015","8:00p","BKN","99","OKC","110","nan","18,203","111.6","106.22"
"Wed, Nov 25, 2015","7:00p","NYK","91","ORL","100","nan","18,846","108.43","107.47"
"Wed, Nov 25, 2015","8:30p","DAL","83","SAS","88","nan","18,418","107.48","99.55"
"Wed, Nov 25, 2015","7:30p","CLE","99","TOR","103","nan","20,140","105.32","106.16"
"Fri, Nov 27, 2015","7:00p","CLE","95","CHA","90","nan","19,093","105.32","105.01"
"Fri, Nov 27, 2015","8:00p","PHI","114","HOU","116","nan","17,306","110.15","109.1"
"Fri, Nov 27, 2015","10:30p","NOP","90","LAC","111","nan","19,162","110.17","104.57"
"Fri, Nov 27, 2015","8:00p","ATL","116","MEM","101","nan","17,684","102","108.69"
"Fri, Nov 27, 2015","8:00p","DET","87","OKC","103","nan","18,203","106.19","106.22"
"Fri, Nov 27, 2015","7:00p","MIL","90","ORL","114","nan","16,317","109.65","107.47"
"Fri, Nov 27, 2015","9:30p","GSW","135","PHX","116","nan","18,055","104.32","109.8"
"Fri, Nov 27, 2015","10:00p","MIN","101","SAC","91","nan","17,317","111.02","109.07"
"Sat, Nov 28, 2015","7:30p","BKN","88","CLE","90","nan","20,562","111.6","105.32"
"Sat, Nov 28, 2015","8:30p","DEN","81","DAL","92","nan","20,339","109.47","107.48"
"Sat, Nov 28, 2015","8:30p","ATL","88","SAS","108","nan","18,418","102","99.55"
"Sat, Nov 28, 2015","9:00p","NOP","87","UTA","101","nan","19,911","110.17","104.78"
"Sat, Nov 28, 2015","7:00p","TOR","84","WAS","82","nan","16,841","106.16","106.48"
"Sun, Nov 29, 2015","6:00p","DET","83","BKN","87","nan","12,823","106.19","111.6"
"Sun, Nov 29, 2015","2:00p","MIL","82","CHA","87","nan","14,224","109.65","105.01"
"Sun, Nov 29, 2015","3:30p","MIN","99","LAC","107","nan","19,060","111.02","104.57"
"Sun, Nov 29, 2015","9:30p","IND","107","LAL","103","nan","18,997","103.51","112.4"
"Sun, Nov 29, 2015","6:00p","PHI","84","MEM","92","nan","15,322","110.15","108.69"
"Sun, Nov 29, 2015","6:00p","BOS","91","ORL","110","nan","16,209","104.1","107.47"
"Sun, Nov 29, 2015","6:00p","PHX","107","TOR","102","nan","19,800","109.8","106.16"
"Mon, Nov 30, 2015","8:00p","OKC","100","ATL","106","nan","17,768","106.22","102"
"Mon, Nov 30, 2015","8:00p","SAS","89","CHI","92","nan","21,909","99.55","107.2"
"Mon, Nov 30, 2015","7:30p","HOU","105","DET","116","nan","14,818","109.1","106.19"
"Mon, Nov 30, 2015","7:30p","BOS","105","MIA","95","nan","19,600","104.1","105.34"
"Mon, Nov 30, 2015","10:00p","DAL","98","SAC","112","nan","16,937","107.48","109.07"
"Mon, Nov 30, 2015","9:00p","GSW","106","UTA","103","nan","19,911","104.32","104.78"
"Tue, Dec 1, 2015","7:30p","PHX","91","BKN","94","nan","12,787","109.8","111.6"
"Tue, Dec 1, 2015","7:00p","WAS","97","CLE","85","nan","20,562","106.48","105.32"
"Tue, Dec 1, 2015","8:00p","MEM","113","NOP","104","nan","16,020","108.69","110.17"
"Tue, Dec 1, 2015","7:00p","LAL","91","PHI","103","nan","20,510","112.4","110.15"
"Tue, Dec 1, 2015","10:00p","DAL","115","POR","112","OT","19,393","107.48","108.67"
"Wed, Dec 2, 2015","8:00p","TOR","96","ATL","86","nan","12,559","106.16","102"
"Wed, Dec 2, 2015","8:00p","DEN","90","CHI","99","nan","21,349","109.47","107.2"
"Wed, Dec 2, 2015","7:00p","GSW","116","CHA","99","nan","19,542","104.32","105.01"
"Wed, Dec 2, 2015","8:00p","NOP","101","HOU","108","nan","17,339","110.17","109.1"
"Wed, Dec 2, 2015","10:30p","IND","103","LAC","91","nan","19,060","103.51","104.57"
"Wed, Dec 2, 2015","7:30p","PHI","87","NYK","99","nan","19,812","110.15","108.43"
"Wed, Dec 2, 2015","8:30p","MIL","70","SAS","95","nan","18,418","109.65","99.55"
"Wed, Dec 2, 2015","7:00p","LAL","108","WAS","104","nan","20,356","112.4","106.48"
"Thu, Dec 3, 2015","7:00p","OKC","95","MIA","97","nan","19,600","106.22","105.34"
"Thu, Dec 3, 2015","10:00p","IND","111","POR","123","nan","19,206","103.51","108.67"
"Thu, Dec 3, 2015","10:00p","BOS","114","SAC","97","nan","18,660","104.1","109.07"
"Thu, Dec 3, 2015","7:30p","DEN","106","TOR","105","nan","19,800","109.47","106.16"
"Fri, Dec 4, 2015","8:00p","LAL","87","ATL","100","nan","19,051","112.4","102"
"Fri, Dec 4, 2015","9:30p","CLE","108","NOP","114","OT","17,906","105.32","110.17"
"Fri, Dec 4, 2015","7:00p","BKN","91","NYK","108","nan","19,812","111.6","108.43"
